Rank,Name,Country,Sector,CAGR,Revenue2020,Revenue2017,Employees2020,Employees2017,FoundingYear,Change % in Employees
952,LANGER Lüftungs- und Klimaanlagen,Germany,Construction,38.11,4609256,1749794,8,5,2016,-60.0
953,Formind,France,Cyber Security,38.08,16845354,6398583,130,60,2010,-116.66666666666667
954,Oasis Smart SIM Europe**,France,Telecoms,37.97,3065165,1167000,20,4,2010,-400.0
955,Aferetica,Italy,Health,37.95,6376910,2429230,13,9,2013,-44.44444444444444
956,Zero,Italy,Energy,37.95,42000000,16000000,37,15,2014,-146.66666666666666
957,SKILLS,France,Support Services,37.89,11650138,4443710,70,20,2011,-250.0
958,3E Studio,Italy,Support Services,37.83,2804580,1071090,22,1,2015,-2100.0
959,Pannonia Steel,Slovakia,Construction,37.82,1768886,675645,5,1,2013,-400.0
960,Kronos,Italy,Fashion,37.81,23579000,9009270,21,15,2009,-40.0
961,LaSaponaria,Italy,Beauty,37.79,6304690,2409730,22,11,2007,-100.0
962,Die Wuhlewanderer,Germany,Health,37.78,4970000,1900000,95,50,2013,-90.0
963,IMINT Vidhance,Sweden,Technology,37.78,4851538,1897113,27,26,2007,-3.8461538461538463
964,Arte e Passione,Italy,Restaurants,37.76,1671730,639410,47,18,2016,-161.11111111111111
965,PAUL MARIUS,France,Retail,37.75,24869602,9515000,87,29,2011,-200.0
966,Scalefocus,Bulgaria,Technology,37.72,33137857,12686177,730,330,2012,-121.21212121212122
967,Whiskyzone,Germany,Retail,37.7,10750866,4117340,16,7,2014,-128.57142857142858
968,Targa Telematics,Italy,Technology,37.67,37386150,14327610,113,63,2002,-79.36507936507937
969,SIAN Wholesale Ltd,UK,Transport,37.51,74719260,28939861,50,23,2003,-117.3913043478261
970,Visage Technologies,Sweden,Technology,37.5,5677639,2233448,104,54,2002,-92.5925925925926
972,BullionVault,UK,Precious metals,37.47,16196046,6278456,34,31,2003,-9.67741935483871
973,3A Antioxidants,Spain,Chemicals & Pharmaceuticals,37.42,7704000,2968892,23,9,2000,-155.55555555555557
974,on Metall,Germany,Industrial Goods,37.4,2587718,997518,6,3,2016,-100.0
975,Scribbr,The Netherlands,Education,37.39,8862818,3417536,39,22,2012,-77.27272727272727
976,Selectra,France,Energy,37.3,62951353,24320734,1000,500,2007,-100.0
977,Energetic,Italy,Energy,37.26,1711470,661860,13,7,2010,-85.71428571428571
978,Faveod,France,Support Services,37.22,2598585,1005658,9,7,2007,-28.57142857142857
979,CYE Energia,Spain,Energy,37.22,23673728,9161867,15,5,2013,-200.0
980,Integrata Oy,Finland,Financial Services,37.15,9409000,3647000,105,33,2008,-218.18181818181816
981,Regular Trade,Germany,Retail,37.13,11671000,4526000,25,15,2010,-66.66666666666666
982,Expleo,Hungary,Energy,37.12,2696785,900686,15,6,2011,-150.0
983,Confezioni Velvet,Italy,Fashion,37.09,3355870,1302640,21,21,2015,0.0
984,Activ Bilanz,Germany,Property,37.07,17286985,6712146,10,12,1998,16.666666666666664
985,Family Nation,Italy,Ecommerce,37.05,5300370,2059190,12,5,2011,-140.0
986,Majar – Matzaridis Bros,Greece,Technology,36.99,13224865,5144442,19,13,1994,-46.15384615384615
987,Izertis,Spain,Technology,36.95,50740841,19753150,791,431,1996,-83.52668213457076
988,Fashion Commerce,Italy,Ecommerce,36.88,2349000,916000,5,1,2016,-400.0
989,Bulk Tainer Logistics Limited,UK,Transport,36.85,56054130,21717432,105,41,2009,-156.09756097560975
990,Wingeco,Italy,Industrial Goods,36.75,3407310,1332330,22,12,2016,-83.33333333333334
991,Meblobranie.pl,Poland,Ecommerce,36.71,19295429,6909799,25,12,2011,-108.33333333333333
992,Queraltó,Spain,Ecommerce,36.69,21900903,8575344,67,39,1898,-71.7948717948718
993,Phobos,Slovakia,Automobiles,36.66,3529454,1382844,12,8,1993,-50.0
994,Archita Engineering,Italy,Support Services,36.62,2739230,1074130,5,13,2013,61.53846153846154
995,Celeritas,Spain,Transport,36.61,58139933,22805398,27,10,2006,-170.0
996,peopleForecast,Germany,Technology,36.59,2086411,818658,45,15,2014,-200.0
997,Digitalpa,Italy,Management Consulting,36.59,1731340,679440,12,41,2014,70.73170731707317
998,Faktenkontor,Germany,Advertising,36.59,30967000,12153143,150,100,2003,-50.0
999,CLAREO,France,Retail,36.58,18854708,7399729,53,13,2012,-307.69230769230774
1000,Laca Trade,Italy,Property,36.55,24741510,9717860,5,5,2013,0.0
